year,month,rainfall
1987,1,0.17913043839128123
1987,2,7.846086891287046
1987,3,26.818261249881726
1987,4,62.24869512912372
1987,5,84.45608666385323
1987,6,171.01565235529256
1987,7,69.1682608993319
1987,8,222.83956510047227
1987,9,269.40130430306107
1987,10,104.64173931417903
1987,11,84.2791302892501
1987,12,0
1988,1,0.05347826291361581
1988,2,27.540869260773704
1988,3,8.291304347469755
1988,4,128.75000010843834
1988,5,209.1699999362716
1988,6,204.48782638428
1988,7,173.60912994708383
1988,8,241.85130483624732
1988,9,193.39652240940416
1988,10,218.41913077138037
1988,11,21.632608546106063
1988,12,0.09695652248742788
1989,1,11.058260949247556
1989,2,3.410434838546359
1989,3,26.722608454363506
1989,4,21.62347835642488
1989,5,205.14217431057733
1989,6,134.7982606678877
1989,7,149.6147824914559
1989,8,178.08695672144708
1989,9,199.9152177015886
1989,10,182.27478260255373
1989,11,15.023478249330884
1989,12,0.026521740157319153
1990,1,1.499565234731721
1990,2,8.50695654652689
1990,3,35.17434774379692
1990,4,45.77217397433908
1990,5,244.26652141522777
1990,6,110.5552176383688
1990,7,125.90217436129309
1990,8,141.1865216086254
1990,9,204.89826103785765
1990,10,210.66434749977094
1990,11,42.95000000678651
1990,12,0.010869565298375876
1991,1,3.8008695814920506
1991,2,1.3260869487472202
1991,3,13.016877504190791
1991,4,50.43610663088811
1991,5,151.0852171916353
1991,6,104.97565235084166
1991,7,107.88652148656546
1991,8,233.28391288536722
1991,9,147.68521700054407
1991,10,133.98304339490184
1991,11,10.476956540718675
1991,12,5.151304352866567
1992,1,9.21672100120602
1992,2,33.798749975782506
1992,3,0
1992,4,8.869583332678303
1992,5,60.87124991253949
1992,6,121.07749979058279
1992,7,230.4229168132103
1992,8,180.42291632861213
1992,9,257.14208303911926
1992,10,179.97208286581252
1992,11,3.015000069979578
1992,12,56.19916613958776
1993,1,1.423750016760702
1993,2,0.021666666958481073
1993,3,37.32708342877837
1993,4,48.052499606894955
1993,5,133.99916670331731
1993,6,85.65208351185235
1993,7,120.38416677232213
1993,8,187.39500043960285
1993,9,248.83625026008428
1993,10,99.85624961873205
1993,11,0.5216666674241422
1993,12,0.39000000602876156
1994,1,0.13199999809265137
1994,2,1.2971999769657852
1994,3,113.5796000277251
1994,4,65.36559991315008
1994,5,300.8232001571357
1994,6,205.3223997938633
1994,7,143.8791995561123
1994,8,244.19039991244674
1994,9,206.9324004422873
1994,10,82.18079981416463
1994,11,9.198799909576774
1994,12,19.72359994061291
1995,1,3.3904000557959075
1995,2,0.15280000135302543
1995,3,15.903199975192548
1995,4,35.68240005224943
1995,5,173.34800056099888
1995,6,140.82839972145854
1995,7,235.55663396911072
1995,8,317.06799936831
1995,9,252.484799400568
1995,10,118.37320005320012
1995,11,51.6551996742189
1995,12,0.3292000060528517
1996,1,2.548400042429566
1996,2,28.569199679419402
1996,3,21.22480000510812
1996,4,130.41440012812612
1996,5,152.6955996761471
1996,6,181.06000025212765
1996,7,137.63760002389552
1996,8,197.8888003194332
1996,9,303.4003995459528
1996,10,140.4495998840034
1996,11,85.32720012918116
1996,12,0.6984000171720982
1997,1,0.053600000441074366
1997,2,6.113599991798401
1997,3,34.3580001565069
1997,4,71.63879994533956
1997,5,77.36719951704144
1997,6,49.22239999517797
1997,7,146.28000006511806
1997,8,184.48640029653905
1997,9,248.8211994766444
1997,10,138.28359986297787
1997,11,11.292549982434139
1997,12,0.06440000094473362
1998,1,11.994230876246897
1998,2,12.709615326343247
1998,3,16.6096152695469
1998,4,55.3515383591159
1998,5,158.8965390868342
1998,6,141.35999955279897
1998,7,204.9861535067456
1998,8,205.7549995478386
1998,9,245.6353853426587
1998,10,98.83959973149003
1998,11,41.181153934807156
1998,12,3.314615366837153
1999,1,13.376296253254017
1999,2,25.271111127541026
1999,3,34.064814938508256
1999,4,152.96074021497256
1999,5,308.16185125812063
1999,6,122.54703716678472
1999,7,117.73148164849867
1999,8,207.67592623422814
1999,9,223.57555530399634
1999,10,225.44428601195767
1999,11,58.0281484281575
1999,12,4.1629629666330645
2000,1,0.20851851854887277
2000,2,33.955926342901805
2000,3,20.768148217488218
2000,4,139.3640740922894
2000,5,215.90740809562035
2000,6,182.33148200651289
2000,7,147.42740727050437
2000,8,181.09925936590193
2000,9,216.145925771445
2000,10,181.4277775786403
2000,11,2.906296302254001
2000,12,1.3188888814852193
2001,1,7.249629663924376
2001,2,2.9155555181205273
2001,3,113.26555585330009
2001,4,28.677407380400425
2001,5,248.20111089054905
2001,6,131.22962948914477
2001,7,161.2422221047735
2001,8,233.954444023677
2001,9,209.70296256092416
2001,10,223.8822225221881
2001,11,14.353703624465398
2001,12,4.039629694419326
2002,1,8.828148159301943
2002,2,8.73629632950933
2002,3,22.73962966373398
2002,4,38.54074086014319
2002,5,217.05888865908815
2002,6,124.32407395769326
2002,7,121.87185167810983
2002,8,230.64962954432875
2002,9,313.8551860362705
2002,10,149.34518487034018
2002,11,103.40185225955038
2002,12,41.6523080919511
2003,1,6.490740784685369
2003,2,11.811481552612452
2003,3,88.004444171985
2003,4,33.28111089993683
2003,5,113.41555554875067
2003,6,178.7618514749877
2003,7,174.6100003289542
2003,8,189.02703714667368
2003,9,264.0333331339061
2003,10,53.8181481960885
2003,11,1.7411111077914634
2003,12,0.03333333245030156
2004,1,15.568928523720906
2004,2,26.61499985613461
2004,3,5.479642922524363
2004,4,65.44499976094812
2004,5,186.43428591106618
2004,6,184.73035739568456
2004,7,189.21178543095343
2004,8,150.8492852815294
2004,9,266.5289286877295
2004,10,34.68749989762104
